Date,Open,High,Low,Close,Adj Close,Volume,RS,RSI
6/28/2021,549.75,550.799988,544.25,547.400024,547.400024,3259830,0.932418971,48.25138776
6/29/2021,547.799988,553.75,541,542.599976,542.599976,7927880,0.96502649,49.11010079
6/30/2021,544.849976,548,542,545.650024,545.650024,4293322,0.812022136,44.81303621
07-01-2021,545,545.900024,538,539.349976,539.349976,4329374,0.71277588,41.61524507
07-02-2021,540.099976,542.299988,533.599976,538.599976,538.599976,4157307,0.56439384,36.07747779
07-05-2021,542.900024,542.900024,535.549988,536.349976,536.349976,3439169,0.580330421,36.72209388
07-06-2021,536.549988,538.299988,531.849976,532.599976,532.599976,4193441,0.568159794,36.23098845
07-07-2021,534.049988,536.400024,525.099976,532.150024,532.150024,5377687,0.498109526,33.24920625
07-08-2021,533.900024,536.950012,528,531,531,4565510,0.583610122,36.85314421
07-09-2021,527.400024,530.950012,523.25,525.799988,525.799988,5724608,0.617095283,38.16072495
07-12-2021,530.75,532.150024,523.200012,525.849976,525.849976,3865556,0.281030366,21.93783797
7/13/2021,528,529.5,522.599976,524.849976,524.849976,4172358,0.439559667,30.53431385
7/14/2021,526.25,563.299988,525.599976,561.700012,561.700012,29348083,1.463370028,59.40520552
7/15/2021,561,579.650024,559,575.900024,575.900024,31066201,2.102910984,67.77219826
7/16/2021,580,589.25,568.299988,577.75,577.75,36907827,2.183231057,68.58537812
7/19/2021,572.549988,584,570,573.799988,573.799988,10857851,2.258062565,69.30691231
7/20/2021,575.700012,578.150024,561.549988,568.099976,568.099976,10523527,1.736062552,63.451128
7/22/2021,577.099976,585,571,584.200012,584.200012,12043385,2.853306354,74.0482612
7/23/2021,586.5,601.799988,583.700012,599.150024,599.150024,14057455,3.582090278,78.17589922
7/26/2021,600.099976,600.5,588.25,590.450012,590.450012,6099903,2.8093643,73.74890083
7/27/2021,588.900024,594.650024,584.150024,591.450012,591.450012,3983137,3.250477323,76.47323056
7/28/2021,590.950012,593.349976,583,591.950012,591.950012,4573930,3.326841263,76.8884519
7/29/2021,593.599976,598,587.900024,590.450012,590.450012,5834470,3.282145968,76.64722297
7/30/2021,588.849976,593,585,587.150024,587.150024,3178206,3.540371637,77.97537118
